beneficiary_id,first_name,last_name,date_of_birth,gender,civil_status,education_level,family_size,monthly_income_before,employment_status_before,is_pantawid_beneficiary,is_indigenous,has_disability,household_head,barangay_name,district,program_name,program_type,duration_months,enrollment_date,completion_date,status,attendance_rate,pre_assessment_score,post_assessment_score,employment_outcome,monthly_income_after,success_score,completion_rate,employment_rate,skill_improvement
B418,Adoracion,Rivera,1994-11-02,Female,Married,Senior High,2,9600,employed,0,0,0,1,Loyola Heights,1,Content Writing Course,employment_facilitation,3,2025-04-15,,enrolled,0.0,67,,unemployed,9600,70.5,0,0,0
B419,Leonardo,Morales,1989-06-16,Male,Widowed,High School,6,5800,unemployed,1,0,0,1,Magsaysay,1,Tricycle Repair Shop,entrepreneurship,4,2025-02-18,2025-06-18,completed,88.5,51,81.0,business_started,13500,85.1,88,86,30
B420,Felicidad,Valdez,1991-03-07,Female,Single,Vocational,3,7400,underemployed,0,1,1,0,Malaya,1,Foot Spa Services,skills_training,3,2025-01-20,2025-04-20,completed,91.0,62,84.0,employed,16200,88.7,91,89,22
B421,Danilo,Castro,1987-10-25,Male,Married,Elementary,7,4400,unemployed,1,1,0,1,Mangga,1,Bamboo Craft Making,microenterprise,6,2025-03-01,,active,76.0,43,65.0,self_employed,9200,74.2,76,78,22
B422,Remedios,Herrera,1990-07-14,Female,Separated,Senior High,3,8200,employed,0,0,1,1,Mariana,1,Desktop Publishing,employment_facilitation,4,2025-01-30,,active,86.5,65,82.0,employed,18400,87.2,86,89,17
B423,Teodoro,Aguilar,1985-04-08,Male,Single,High School,2,10200,underemployed,0,0,0,0,Matandang Balara,1,Generator Repair,skills_training,3,2025-02-22,2025-05-22,completed,89.5,56,83.0,employed,17600,87.9,89,91,27
B424,Corazon,Mendoza,1993-12-19,Female,Married,Vocational,4,6600,unemployed,1,0,0,1,Muñoz,1,Candle Making Business,microenterprise,5,2025-01-10,,active,82.0,47,71.0,self_employed,11500,79.8,82,84,24
B425,Numeriano,Cruz,1988-08-03,Male,Widowed,College,1,14600,employed,0,1,0,0,New Era,1,Database Administration,employment_facilitation,6,2025-04-20,,enrolled,0.0,76,,unemployed,14600,77.8,0,0,0
B426,Soledad,Aquino,1992-01-26,Female,Single,High School,2,7900,unemployed,1,0,1,0,Palamaris,1,Meat Processing,skills_training,4,2025-02-01,2025-06-01,completed,90.0,53,80.0,employed,16800,86.4,90,88,27
B427,Domingo,Ramos,1986-09-11,Male,Married,Elementary,8,3900,unemployed,1,1,1,1,Pasong Putik,1,Vegetable Gardening,microenterprise,3,2025-03-10,,active,74.0,41,63.0,self_employed,8700,73.8,74,77,22
B428,Milagros,Lopez,1989-05-17,Female,Separated,Senior High,3,8500,underemployed,0,0,0,1,Phil-Am,1,Medical Transcription,employment_facilitation,5,2025-01-22,,active,88.5,68,85.0,employed,19600,89.3,88,92,17
B429,Rogelio,Bautista,1991-11-30,Male,Single,Vocational,2,11200,employed,0,0,0,0,Quezon Memorial Circle,1,HVAC Maintenance,skills_training,4,2025-02-28,2025-06-28,completed,87.5,59,87.0,employed,20400,90.2,87,93,28
B430,Esperanza,Jimenez,1987-07-05,Female,Married,High School,5,5700,unemployed,1,1,0,1,Salvacion,1,Herbal Medicine Production,microenterprise,6,2025-01-12,,active,79.5,44,68.0,self_employed,10600,76.7,79,82,24
